690 [2.02e-03, 8.36e-02]
691 [2.00e-03, 8.28e-02]
692 [1.98e-03, 8.20e-02]
693 [1.96e-03, 8.12e-02]
694 [1.94e-03, 8.04e-02]
695 [1.91e-03, 7.97e-02]
696 [1.89e-03, 7.89e-02]
697 [1.87e-03, 7.81e-02]
698 [1.85e-03, 7.73e-02]
699 [1.83e-03, 7.66e-02]
700 [1.81e-03, 7.58e-02]
701 [1.79e-03, 7.51e-02]
702 [1.77e-03, 7.43e-02]
703 [1.75e-03, 7.36e-02]
704 [1.73e-03, 7.28e-02]
705 [1.71e-03, 7.21e-02]
706 [1.69e-03, 7.14e-02]
707 [1.68e-03, 7.06e-02]
708 [1.66e-03, 6.99e-02]
709 [1.64e-03, 6.92e-02]
710 [1.62e-03, 6.85e-02]
711 [1.60e-03, 6.78e-02]
712 [1.58e-03, 6.71e-02]
713 [1.56e-03, 6.64e-02]
714 [1.55e-03, 6.57e-02]
715 [1.53e-03, 6.50e-02]
716 [1.51e-03, 6.43e-02]
717 [1.49e-03, 6.36e-02]
718 [1.48e-03, 6.29e-02]
719 [1.46e-03, 6.23e-02]
720 [1.44e-03, 6.16e-02]
721 [1.42e-03, 6.09e-02]
722 [1.41e-03, 6.03e-02]
723 [1.39e-03, 5.96e-02]
724 [1.37e-03, 5.90e-02]
725 [1.36e-03, 5.83e-02]
726 [1.34e-03, 5.77e-02]
727 [1.32e-03, 5.71e-02]
728 [1.31e-03, 5.64e-02]
729 [1.29e-03, 5.58e-02]
730 [1.28e-03, 5.52e-02]
731 [1.26e-03, 5.46e-02]
732 [1.25e-03, 5.39e-02]
733 [1.23e-03, 5.33e-02]
734 [1.22e-03, 5.27e-02]
735 [1.20e-03, 5.21e-02]
