579 [4.39e-01, 2.85e-01]
580 [4.39e-01, 2.85e-01]
581 [4.39e-01, 2.85e-01]
582 [4.39e-01, 2.85e-01]
583 [4.39e-01, 2.85e-01]
584 [4.39e-01, 2.85e-01]
585 [4.39e-01, 2.85e-01]
586 [4.39e-01, 2.85e-01]
587 [4.39e-01, 2.84e-01]
588 [4.38e-01, 2.84e-01]
589 [4.38e-01, 2.84e-01]
590 [4.38e-01, 2.84e-01]
591 [4.38e-01, 2.84e-01]
592 [4.38e-01, 2.84e-01]
593 [4.38e-01, 2.84e-01]
594 [4.38e-01, 2.84e-01]
595 [4.38e-01, 2.84e-01]
596 [4.38e-01, 2.84e-01]
597 [4.38e-01, 2.84e-01]
598 [4.38e-01, 2.84e-01]
599 [4.38e-01, 2.84e-01]
600 [4.38e-01, 2.84e-01]
601 [4.38e-01, 2.84e-01]
602 [4.38e-01, 2.84e-01]
603 [4.38e-01, 2.84e-01]
604 [4.38e-01, 2.84e-01]
605 [4.38e-01, 2.84e-01]
606 [4.38e-01, 2.84e-01]
607 [4.38e-01, 2.84e-01]
608 [4.38e-01, 2.84e-01]
609 [4.38e-01, 2.84e-01]
610 [4.38e-01, 2.83e-01]
611 [4.38e-01, 2.83e-01]
612 [4.38e-01, 2.83e-01]
613 [4.38e-01, 2.83e-01]
614 [4.38e-01, 2.83e-01]
615 [4.38e-01, 2.83e-01]
616 [4.37e-01, 2.83e-01]
617 [4.37e-01, 2.83e-01]
618 [4.37e-01, 2.83e-01]
619 [4.37e-01, 2.83e-01]
620 [4.37e-01, 2.83e-01]
621 [4.37e-01, 2.83e-01]
622 [4.37e-01, 2.83e-01]
623 [4.37e-01, 2.83e-01]
624 [4.37e-01, 2.83e-01]
625 [4.37e-01, 2.83e-01]
626 [4.37e-01, 2.83e-01]
627 [4.37e-01, 2.83e-01]
628 [4.37e-01, 2.83e-01]
629 [4.37e-01, 2.83e-01]
630 [4.37e-01, 2.83e-01]
631 [4.37e-01, 2.83e-01]
632 [4.37e-01, 2.83e-01]
633 [4.37e-01, 2.82e-01]
634 [4.37e-01, 2.82e-01]
635 [4.37e-01, 2.82e-01]
636 [4.37e-01, 2.82e-01]
637 [4.37e-01, 2.82e-01]
638 [4.37e-01, 2.82e-01]
639 [4.37e-01, 2.82e-01]
640 [4.37e-01, 2.82e-01]
